id,product_id,variant_type,variant_value,price_modifier,stock,sku,created_at,active
708,169,color,COMBO CON SOMBRERO ROSA,0.00,0,null,2026-03-21 16:26:39.410462+00,true
709,169,color,COMBO CON SOMBRERO BLANCO,0.00,0,null,2026-03-21 16:26:39.410462+00,true
710,169,color,COMBO CON SOMBRERO NEGRO,0.00,0,null,2026-03-21 16:26:39.410462+00,true
711,168,color,COMBO C/ SOMBRERO ROSA,0.00,0,null,2026-03-21 16:27:22.303398+00,true
712,168,color,COMBO C/ SOMBRERO BLANCO,0.00,0,null,2026-03-21 16:27:22.303398+00,true
713,168,color,COMBO C/ SOMBRERO NEGRO,0.00,0,null,2026-03-21 16:27:22.303398+00,true
714,172,color,COMBO CON SOMBRERO ROSA,0.00,0,null,2026-03-21 16:35:52.546906+00,true
715,172,color,COMBO CON SOMBRERO BLANCO,0.00,0,null,2026-03-21 16:35:52.546906+00,true
716,172,color,COMBO CON SOMBRERO NEGRO,0.00,0,null,2026-03-21 16:35:52.546906+00,true
717,173,color,VERDE,0.00,0,null,2026-03-23 22:06:30.870292+00,true
718,173,color,ROJO,0.00,0,null,2026-03-23 22:06:30.870292+00,true
719,173,color,VIOLETA,0.00,0,null,2026-03-23 22:06:30.870292+00,true
720,173,color,ROSA,0.00,0,null,2026-03-23 22:06:30.870292+00,true
721,173,color,AZUL,0.00,0,null,2026-03-23 22:06:30.870292+00,true
722,173,color,BLANCO,0.00,0,null,2026-03-23 22:06:30.870292+00,true
723,173,color,COLORES SURTIDOS,0.00,0,null,2026-03-23 22:06:30.870292+00,true
724,153,color,COLORES SURTIDOS,0.00,0,null,2026-03-27 19:27:35.104292+00,true
725,174,color,COMBO CON SOMBRERO ROSA,0.00,0,null,2026-03-28 13:55:16.112383+00,true
726,174,color,COMBO CON SOMBRERO BLANCO,0.00,0,null,2026-03-28 13:55:16.112383+00,true
727,174,color,COMBO CON SOMBRERO NEGRO,0.00,0,null,2026-03-28 13:55:16.112383+00,true
731,175,color,COMBO CON SOMBRERO ROSA,0.00,0,null,2026-03-28 14:00:11.979917+00,true
732,175,color,COMBO CON SOMBRERO NEGRO,0.00,0,null,2026-03-28 14:00:11.979917+00,true
733,175,color,COMBO CON SOMBRERO BLANCO,0.00,0,null,2026-03-28 14:00:11.979917+00,true
734,176,color,COMBO CON SOMBRERO AZUL,0.00,0,null,2026-03-28 14:11:53.817154+00,true
735,176,color,COMBO CON SOMBRERO BLANCO,0.00,0,null,2026-03-28 14:11:53.817154+00,true
736,176,color,COMBO CON SOMBRERO AMARILLO,0.00,0,null,2026-03-28 14:11:53.817154+00,true
737,176,color,COMBO CON SOMBRERO NEGRO,0.00,0,null,2026-03-28 14:11:53.817154+00,true
738,176,color,COMBO CON SOMBRERO VIOLETA,0.00,0,null,2026-03-28 14:11:53.817154+00,true
739,177,color,COMBO CON SOMBRERO AZUL,0.00,0,null,2026-03-28 14:15:31.917861+00,true
740,177,color,COMBO CON SOMBRERO BLANCO,0.00,0,null,2026-03-28 14:15:31.917861+00,true
741,177,color,COMBO CON SOMBRERO AMARILLO,0.00,0,null,2026-03-28 14:15:31.917861+00,true
742,177,color,COMBO CON SOMBRERO VIOLETA,0.00,0,null,2026-03-28 14:15:31.917861+00,true
743,177,color,COMBO CON SOMBRERO NEGRO,0.00,0,null,2026-03-28 14:15:31.917861+00,true
746,178,color,CELESTE Y BLANCO,0.00,0,null,2026-03-28 15:32:41.972284+00,true
749,182,color,CELESTE Y BLANCO,0.00,0,null,2026-03-28 15:45:55.096646+00,true
751,183,color,CELESTE Y BLANCO,0.00,0,null,2026-03-28 15:50:27.577001+00,true
757,185,color,BLANCO,0.00,0,null,2026-03-28 17:42:16.055669+00,true
758,185,color,MULTICOLOR,0.00,0,null,2026-03-28 17:42:16.055669+00,true
759,133,color,ROSA,0.00,0,null,2026-03-28 23:10:50.574566+00,true
761,188,color,BLANCO,0.00,0,null,2026-04-01 19:30:31.969045+00,true
762,189,color,BLANCO,0.00,0,null,2026-04-01 20:10:57.935768+00,true
763,189,color,CALIDO,0.00,0,null,2026-04-01 20:10:57.935768+00,true
764,190,color,CALIDO,0.00,0,null,2026-04-01 20:26:52.012046+00,true
765,190,color,MULTICOLOR,0.00,0,null,2026-04-01 20:26:52.012046+00,true
766,142,color,BLANCO,0.00,0,null,2026-04-06 18:41:36.25719+00,true
767,141,color,multicolor,0.00,0,null,2026-04-06 18:41:52.229664+00,true
